Time (ms)	Distance 1 (um)	Distance 2 (um)	Force Channel 1 (pN)	Force Channel 2 (pN)	Force Channel 3 (pN)	Force Channel 4 (pN)	Force Channel 5 (pN)	Force Channel 6 (pN)	Force Channel 1 STDEV (pN)	Force Channel 2 STDEV (pN)	Force Channel 3 STDEV (pN)	Force Channel 4 STDEV (pN)	Force Channel 5 STDEV (pN)	Force Channel 6 STDEV (pN)	Force Trap 1 (pN)	Force Trap 2 (pN)	Force Trap 3 (pN)	Force Trap 1 STDEV (pN)	Force Trap 2 STDEV (pN)	Force Trap 3 STDEV (pN)	Bead 1 X position (um)	Bead 1 Y position (um)	Bead 2 X position (um)	Bead 2 Y position (um)	Bead 3 X position (um)	Bead 3 Y position (um)	Bead 4 X position (um)	Bead 4 Y position (um)
80.00000000	1.77748882	0.00000000	0.36164552	0.03557764	0.03965264	-0.31628145	-1.69678172	-2.22070613	1.54746884	1.27168340	1.26371547	1.43345444	0.00039402	0.00047181	0.36339132	0.31875741	2.79474577	1.54505904	1.43098115	0.00044472	6.17474019	5.64986376	11.18121651	5.75055723	0.00000000	0.00000000	0.00000000	0.00000000
85.00000000	1.77707904	0.00000000	-0.23875363	0.36612770	0.47352607	-0.29933971	-1.69671537	-2.22056635	1.55962685	1.36003472	1.54712516	1.34595634	0.00034440	0.00051188	0.43709586	0.56020639	2.79459442	1.42252015	1.49245629	0.00045733	6.17566151	5.64547059	11.18161184	5.75178017	0.00000000	0.00000000	0.00000000	0.00000000
90.00000000	1.77743791	0.00000000	0.04949477	0.46312629	0.31562954	-0.41206809	-1.69691707	-2.22078991	1.37072267	1.58692464	1.43903353	1.15006777	0.00036520	0.00048004	0.46576356	0.51905888	2.79489452	1.58464787	1.26463333	0.00044120	6.17527643	5.64799480	11.18163578	5.75191971	0.00000000	0.00000000	0.00000000	0.00000000
95.00000000	1.77561503	0.00000000	0.13838366	0.36316736	0.04467513	-0.36248544	-1.69674320	-2.22063415	1.58553795	1.20257300	1.36565850	1.30838200	0.00034904	0.00049877	0.38863939	0.36522809	2.79466519	1.25760045	1.30925746	0.00044942	6.17668678	5.64530062	11.18113717	5.75327398	0.00000000	0.00000000	0.00000000	0.00000000
100.00000000	1.77703296	0.00000000	0.36717731	0.48003050	0.31474164	0.00664280	-1.69674564	-2.22056399	1.68486434	1.45562066	1.33552486	1.23482441	0.00030576	0.00039141	0.60435789	0.31481173	2.79461092	1.54420587	1.33548171	0.00036220	6.17465333	5.64762922	11.18067343	5.74833568	0.00000000	0.00000000	0.00000000	0.00000000
105.00000000	1.77604385	0.00000000	0.05926596	0.69066498	0.23790908	-0.62163702	-1.69687687	-2.22079357	1.64099626	1.38730289	1.50794441	1.20252915	0.00034013	0.00049195	0.69320313	0.66560748	2.79487301	1.38932535	1.24572725	0.00044210	6.17634548	5.64594561	11.18123771	5.75331775	0.00000000	0.00000000	0.00000000	0.00000000
110.00000000	1.77670630	0.00000000	0.26031122	0.76213225	0.32276723	-0.04884988	-1.69670054	-2.22052950	1.45474919	1.60553555	1.31963504	1.20676230	0.00033857	0.00041439	0.80536172	0.32644294	2.79455613	1.59045133	1.31721336	0.00038817	6.17590774	5.64879471	11.18154345	5.75232804	0.00000000	0.00000000	0.00000000	0.00000000
115.00000000	1.77806816	0.00000000	0.38098795	0.18654567	0.16594653	-0.50545538	-1.69675086	-2.22065330	1.61851703	1.35272740	1.55670723	1.43321851	0.00033005	0.00042145	0.42420645	0.53199943	2.79468505	1.57063002	1.44569731	0.00039026	6.17518067	5.64965139	11.18224179	5.75007913	0.00000000	0.00000000	0.00000000	0.00000000
120.00000000	1.77693189	0.00000000	0.44267438	0.58353033	-0.09141522	-0.52924279	-1.69668797	-2.22066100	1.72621141	1.39553124	1.43425747	1.27020015	0.00032482	0.00045596	0.73243993	0.53707977	2.79465299	1.52465878	1.27524991	0.00041250	6.17574290	5.64719250	11.18155302	5.75317343	0.00000000	0.00000000	0.00000000	0.00000000
125.00000000	1.77832653	0.00000000	0.48340013	0.54001807	0.25642637	-0.14629318	-1.69666842	-2.22057480	1.33672748	1.43134584	1.36725815	1.57473010	0.00029548	0.00035830	0.72477252	0.29522225	2.79457262	1.39005070	1.42101271	0.00033651	6.17393515	5.64865586	11.18121309	5.75113655	0.00000000	0.00000000	0.00000000	0.00000000
130.00000000	1.77669158	0.00000000	0.39729146	0.42861390	0.03075365	-0.21440780	-1.69678190	-2.22069531	1.34204830	1.44099152	1.25342375	1.41778032	0.00031563	0.00041948	0.58442311	0.21660215	2.79473728	1.39613869	1.41465567	0.00038448	6.17580651	5.64573837	11.18137929	5.75157635	0.00000000	0.00000000	0.00000000	0.00000000
135.00000000	1.77767979	0.00000000	-0.14757119	0.25580459	0.19130691	-0.31744563	-1.69668977	-2.22055410	1.39286751	1.51958302	1.59031571	1.16436982	0.00029375	0.00036613	0.29531889	0.37063468	2.79456915	1.48895253	1.29165084	0.00034124	6.17505824	5.64604376	11.18159885	5.75285196	0.00000000	0.00000000	0.00000000	0.00000000
140.00000000	1.77770916	0.00000000	-0.46368878	0.23520529	0.49898104	-0.26974782	-1.69678621	-2.22062566	1.46000073	1.57818571	1.44694862	1.35838645	0.00027131	0.00035027	0.51993155	0.56722656	2.79468455	1.48495243	1.42740090	0.00032341	6.17571349	5.64857515	11.18237995	5.75076105	0.00000000	0.00000000	0.00000000	0.00000000
145.00000000	1.77738130	0.00000000	0.05819642	0.56551215	0.10030499	-0.34262713	-1.69680885	-2.22065497	1.38276010	1.34272431	1.26886108	1.30285870	0.00027453	0.00036628	0.56849874	0.35700762	2.79472159	1.34315005	1.30020729	0.00033539	6.17489408	5.64880155	11.18122540	5.75134038	0.00000000	0.00000000	0.00000000	0.00000000
150.00000000	1.77330955	0.00000000	0.00831770	0.60676654	0.10437539	-0.61293674	-1.69679469	-2.22072492	1.40649326	1.54283663	1.25745768	1.31647624	0.00033389	0.00046670	0.60682354	0.62176014	2.79476857	1.54281215	1.31484933	0.00042263	6.17640909	5.64843665	11.17865160	5.75176307	0.00000000	0.00000000	0.00000000	0.00000000
155.00000000	1.77621408	0.00000000	0.08833075	0.44427601	0.20922806	-0.48014848	-1.69677253	-2.22061592	1.29916619	1.46138048	1.62429119	1.33431605	0.00026664	0.00037177	0.45297184	0.52375466	2.79466851	1.45554280	1.38466905	0.00033686	6.17559242	5.64906351	11.18072952	5.75290053	0.00000000	0.00000000	0.00000000	0.00000000
160.00000000	1.77577491	0.00000000	0.11858238	0.35279380	0.27915536	-0.02674558	-1.69677608	-2.22063297	1.59022666	1.36259879	1.34420990	1.36101814	0.00031891	0.00041796	0.37218980	0.28043367	2.79468422	1.38740958	1.34436373	0.00038443	6.17499668	5.64645346	11.17970561	5.74975424	0.00000000	0.00000000	0.00000000	0.00000000
165.00000000	1.77866933	0.00000000	0.02679708	0.25607869	-0.03228788	-0.35746344	-1.69683189	-2.22074253	1.59251489	1.60399444	1.49841437	1.42751914	0.00031754	0.00045094	0.25747695	0.35891868	2.79480515	1.60387054	1.42810700	0.00040689	6.17460750	5.64840074	11.18221853	5.75135816	0.00000000	0.00000000	0.00000000	0.00000000
170.00000000	1.77734975	0.00000000	0.17621126	0.04762805	-0.05513725	-0.05006551	-1.69674286	-2.22047726	1.71954570	1.20899231	1.41526311	1.36733076	0.00028784	0.00039819	0.18253449	0.07447599	2.79454032	1.68968698	1.39380651	0.00036145	6.17623878	5.64891372	11.18251811	5.75244500	0.00000000	0.00000000	0.00000000	0.00000000
175.00000000	1.77943331	0.00000000	0.24698079	-0.04024062	0.21380955	-0.46882757	-1.69679990	-2.22063148	1.34544001	1.51990137	1.34553998	1.39002781	0.00028891	0.00038071	0.25023752	0.51528033	2.79469749	1.35023549	1.38247020	0.00034969	6.17315884	5.64748763	11.18150651	5.75177402	0.00000000	0.00000000	0.00000000	0.00000000
180.00000000	1.77884587	0.00000000	0.11290720	0.71607257	0.03914280	-0.45880787	-1.69678877	-2.22068907	1.35089343	1.51214172	1.47539947	1.40763862	0.00031142	0.00038795	0.72491928	0.46047456	2.79473649	1.50843409	1.40813995	0.00036163	6.17412051	5.64698457	11.18190117	5.75027953	0.00000000	0.00000000	0.00000000	0.00000000
